"Story","Title","Result","Date","Stability","Duration (s)"
"Sing in in the platform","Login user successfully","SUCCESS","2023-05-06T02:49:44.626499-05:00[America/Bogota]","0.0","0.54"
"Sing in in the platform","Login user failed","SUCCESS","2023-05-06T02:49:45.177505-05:00[America/Bogota]","0.0","0.57"
