"Story","Title","Result","Date","Stability","Duration (s)"
"Sing up in the platform","Create new user successfully","SUCCESS","2023-05-06T22:39:35.184175-05:00[America/Bogota]","0.0","0.65"
"Sing up in the platform","Create existing user","SUCCESS","2023-05-06T22:39:35.842353-05:00[America/Bogota]","0.0","0.77"
